Taxonomy	Sample1	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Tax_detail
Xanthomonas	0	0	0	0	0.0271629778672032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204580152671756	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;
Lactobacillus	0	0	0.0117548278757347	0	0.00603621730382294	0	0	0	0	0	0	0	0	0	0	0	0.00670241286863271	0.0188216039279869	0	0	0.00317594749100148	0.026568886751623	0	0.000504489960649783	0	0	0	0	0	0.00353535353535354	0.00991844831386379	0.00346456692913386	0.00610687022900763	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;
Coprococcus	0.00523486134691568	0	0	0	0	0	0	0	0	0	0.00193236714975845	0.0259250799451804	0.0134220072551391	0.00354609929078014	0	0	0	0	0	0	0	0	0.00795253723807119	0	0	0	0	0	0.0130959949141767	0	0	0	0	0.00872410032715376	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;
Ruminococcus	0.00155631013016412	0	0	0	0	0	0	0	0	0	0.0020703933747412	0.0206715395157606	0.0097944377267231	0.0259019426456984	0.0248704663212435	0	0.00335120643431635	0	0	0	0	0	0	0	0	0	0	0	0.00305149396058487	0.000505050505050505	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;
Alloiococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201072386058981	0.0253682487725041	0	0	0.00190556849460089	0.00540995431594133	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Alloiococcus;
Enhydrobacter	0	0.0239076669414674	0.00671704450041982	0	0.00603621730382294	0	0	0	0	0	0	0	0	0	0	0.000778664590227759	0	0	0.00120221207020918	0	0	0.00276508776148113	0	0	0	0	0	0	0	0.0214646464646465	0.00374696936301521	0.00251968503937008	0.00610687022900763	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;
Flavobacterium	0	0	0	0.00659133709981168	0.0150905432595573	0	0	0	0	0	0	0	0	0	0	0	0.0046916890080429	0	0	0	0.00497565106923566	0.0019235393123347	0	0	0	0	0	0	0	0	0	0.022992125984252	0.0109923664122137	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223611445058908	0	0	0	0	0.00645747149631722	0	0.00130586186883343	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas;
Enterococcus	0	0	0	0	0.0221327967806841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00946564885496183	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;
Propionibacterium	0	0.00577081615828524	0.00923593618807725	0.00188323917137476	0	0	0	0	0	0	0	0	0	0	0	0	0.0207774798927614	0.00736497545008183	0.00841548449146429	0	0.0112216811348719	0.0104592450108199	0	0.00252244980324892	0	0	0	0	0	0.00176767676767677	0.0068327088384395	0.00094488188976378	0.00213740458015267	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;
