Accession	Nlevel	Rep	FW(g)	DW(g)	N%(N/DW)	TotalN(mgN/plant)	NUtE(gDW/gN)	E%(15N/N)	15N(ug15N/plant)	NUE(gDW/gappliedN)	NupE(ug15N/ugapplied15N*100%)	NupE/DW	RNAsamples	AppliedN(mg)
Tsu-0	H	one	0.356	0.044	5.248618785	2.309392265	19.05263158	0.206656667	4.772513076	2.8314	2.27263	51.65068182	No	15.54
Tsu-0	H	two	1.04	0.097	5.996231748	5.816344795	16.67714061	0.50412	29.32135738	4.87928	10.8598	111.956701	No	19.88
Tsu-0	H	two	0.592	0.08	3.965957447	3.172765957	25.21459227	0.16987	5.389577532	4.02414	1.99614	24.95175	Yes	19.88
Tsu-0	H	two	0.403	0.065	4.224318658	2.745807128	23.67245658	0.05152	1.414639832	3.26962	0.523941	8.060630769	No	19.88
Tsu-0	H	two	0.496	0.063	4.885664028	3.077968338	20.4680468	0.1514	4.660044063	3.16901	1.72594	27.39587302	No	19.88
Tsu-0	H	two	0.521	0.047	5.334207077	2.507077326	18.74692875	0.3679	9.223537484	2.36419	3.41612	72.68340426	Yes	19.88
Tsu-0	H	two	0.351	0.039	5.19536903	2.026193922	19.24791086	0.33973	6.883588611	1.96177	2.54948	65.37128205	No	19.88
Tsu-0	H	three	0.477	0.053	5.361366623	2.84152431	18.65196078	0.291626667	8.286642628	3.98496	3.06913	57.90811321	Yes	13.3
Tsu-0	H	three	0.405	0.045	5.35021097	2.407594937	18.69085174	0.302345	7.279242911	3.38346	2.69602	59.91155556	No	13.3
Tsu-0	H	three	0.35	0.035	5.714285714	2	17.5	0.307495	6.1499	2.63158	2.27774	65.07828571	No	13.3
Tsu-0	H	three	0.34	0.033	5.531763026	1.825481799	18.07741935	0.306896667	5.602342791	2.4812	2.07494	62.8769697	Yes	13.3
Tsu-0	H	three	0.294	0.033	5.80674567	1.916226071	17.22135008	0.379275	7.267766431	2.4812	2.69177	81.56878788	No	13.3
Tsu-0	H	three	0.188	0.025	3.886838868	0.971709717	25.7278481	0.183105	1.779249077	1.8797	0.658981	26.35924	No	13.3
Tsu-0	L	one	0.379	0.042	4.311405584	1.810790345	23.19429199	0.239506667	4.336963597	13.5135	10.3261	245.8595238	No	3.108
Tsu-0	L	one	0.245	0.029	4.548156956	1.318965517	21.9869281	0.490016667	6.463150862	9.33076	15.3885	530.637931	Yes	3.108
Tsu-0	L	one	0.275	0.029	4.836295603	1.402525725	20.67698259	0.438686667	6.152693352	9.33076	14.6493	505.1482759	No	3.108
Tsu-0	L	one	0.247	0.029	3.723323171	1.07976372	26.85772774	0.543046667	5.863620887	9.33076	13.961	481.4137931	No	3.108
Tsu-0	L	one	0.186	0.019	4.482338611	0.851644336	22.30978261	0.343396667	2.924518262	6.11326	6.96314	366.4810526	Yes	3.108
Tsu-0	L	one	0.175	0.015	4.273635665	0.64104535	23.39928058	0.430406667	2.759101922	4.82625	6.56929	437.9526667	No	3.108
Tsu-0	L	two	0.319	0.037	4.774090364	1.766413435	20.94639866	0.48319	8.535133075	9.30584	15.8058	427.1837838	No	3.976
Tsu-0	L	two	0.269	0.028	4.640198511	1.299255583	21.55080214	0.65369	8.493103821	7.04225	15.728	561.7142857	Yes	3.976
Tsu-0	L	two	0.187	0.02	4.577294686	0.915458937	21.8469657	0.42668	3.906080193	5.03018	7.23348	361.674	Yes	3.976
Tsu-0	L	two	0.116	0.01	4.460154242	0.446015424	22.42074928	0.15944	0.711126992	2.51509	1.3169	131.69	No	3.976
Tsu-0	L	two	0.088	0.008	4.475939354	0.358075148	22.34167894	0.31769	1.137568939	2.01207	2.10661	263.32625	No	3.976
Tsu-0	L	three	0.245	0.026	5.390334572	1.401486989	18.55172414	0.870275	12.19679089	9.77444	22.5866	868.7153846	No	2.66
Tsu-0	L	three	0.167	0.021	4.701897019	0.987398374	21.26801153	0.525556667	5.189337981	7.89474	9.60989	457.6138095	Yes	2.66
Tsu-0	L	three	0.146	0.018	5	0.9	20	0.404625	3.641625	6.76692	6.74375	374.6527778	No	2.66
Tsu-0	L	three	0.125	0.018	2.621359223	0.47184466	38.14814815	0.347915	1.64161835	6.76692	3.04003	168.8905556	No	2.66
Tsu-0	L	three	0.172	0.017	4.787644788	0.813899614	20.88709677	0.649306667	5.284704453	6.39098	9.78649	575.6758824	Yes	2.66
Tsu-0	L	three	0.146	0.017	5.075593952	0.862850972	19.70212766	0.547515	4.724238499	6.39098	8.74859	514.6229412	No	2.66
